Date,Site_Code,Site_Name,Region,Visitors,Avg_Spend_per_Head_GBP,Weather
2025-01-01,S001,Nova London Bridge,London,1002,16.81,Dry
2025-01-01,S002,Nova Manchester Arndale,Manchester,684,14.13,Dry
2025-01-01,S003,Nova Birmingham Bullring,Birmingham,764,16.24,Dry
2025-01-01,S004,Nova Bristol Cabot,Bristol,525,15.38,Dry
2025-01-01,S005,Nova Edinburgh Princes,Edinburgh,661,11.69,Sunny
2025-01-02,S001,Nova London Bridge,London,2839,11.82,Rain
2025-01-02,S002,Nova Manchester Arndale,Manchester,2718,17.58,Sunny
2025-01-02,S003,Nova Birmingham Bullring,Birmingham,2523,12.98,Cold
2025-01-02,S004,Nova Bristol Cabot,Bristol,1371,18.09,Rain
2025-01-02,S005,Nova Edinburgh Princes,Edinburgh,2025,17.25,Dry
2025-01-03,S001,Nova London Bridge,London,4608,17.59,Dry
2025-01-03,S002,Nova Manchester Arndale,Manchester,3077,11.73,Dry
2025-01-03,S003,Nova Birmingham Bullring,Birmingham,3561,11.87,Dry
2025-01-03,S004,Nova Bristol Cabot,Bristol,2062,16.6,Cold
2025-01-03,S005,Nova Edinburgh Princes,Edinburgh,2586,14.17,Cold
2025-01-04,S001,Nova London Bridge,London,5296,16.79,Dry
2025-01-04,S002,Nova Manchester Arndale,Manchester,2971,14.09,Rain
2025-01-04,S003,Nova Birmingham Bullring,Birmingham,4021,15.95,Dry
2025-01-04,S004,Nova Bristol Cabot,Bristol,2115,16.14,Rain
2025-01-04,S005,Nova Edinburgh Princes,Edinburgh,2946,15.92,Cold
2025-01-05,S001,Nova London Bridge,London,4537,14.67,Dry
2025-01-05,S002,Nova Manchester Arndale,Manchester,4053,17.63,Sunny
2025-01-05,S003,Nova Birmingham Bullring,Birmingham,3501,14.03,Dry
2025-01-05,S004,Nova Bristol Cabot,Bristol,2307,19.26,Cold
2025-01-05,S005,Nova Edinburgh Princes,Edinburgh,2684,12.63,Cold
2025-01-06,S001,Nova London Bridge,London,2330,11.43,Rain
2025-01-06,S002,Nova Manchester Arndale,Manchester,2333,16.36,Dry
2025-01-06,S003,Nova Birmingham Bullring,Birmingham,2274,17.42,Cold
2025-01-06,S004,Nova Bristol Cabot,Bristol,1251,12.07,Rain
2025-01-06,S005,Nova Edinburgh Princes,Edinburgh,2104,17.35,Sunny
2025-01-07,S001,Nova London Bridge,London,2611,16.76,Cold
2025-01-07,S002,Nova Manchester Arndale,Manchester,1891,11.18,Rain
2025-01-07,S003,Nova Birmingham Bullring,Birmingham,2452,14.9,Dry
2025-01-07,S004,Nova Bristol Cabot,Bristol,1552,17.65,Dry
2025-01-07,S005,Nova Edinburgh Princes,Edinburgh,1897,14.74,Dry
2025-01-08,S001,Nova London Bridge,London,3116,17.72,Dry
2025-01-08,S002,Nova Manchester Arndale,Manchester,1858,15.42,Rain
2025-01-08,S003,Nova Birmingham Bullring,Birmingham,2686,17.65,Dry
2025-01-08,S004,Nova Bristol Cabot,Bristol,1665,15.85,Dry
2025-01-08,S005,Nova Edinburgh Princes,Edinburgh,1544,14.5,Rain
2025-01-09,S001,Nova London Bridge,London,3361,14.24,Dry
2025-01-09,S002,Nova Manchester Arndale,Manchester,1976,15.86,Rain
2025-01-09,S003,Nova Birmingham Bullring,Birmingham,2847,16.43,Sunny
2025-01-09,S004,Nova Bristol Cabot,Bristol,1538,14.92,Rain
2025-01-09,S005,Nova Edinburgh Princes,Edinburgh,2198,13.67,Dry
2025-01-10,S001,Nova London Bridge,London,4038,12.27,Dry
2025-01-10,S002,Nova Manchester Arndale,Manchester,3069,15.81,Dry
2025-01-10,S003,Nova Birmingham Bullring,Birmingham,3691,18.43,Dry
2025-01-10,S004,Nova Bristol Cabot,Bristol,2386,18.24,Dry
2025-01-10,S005,Nova Edinburgh Princes,Edinburgh,2630,13.71,Dry
2025-01-11,S001,Nova London Bridge,London,4843,12.05,Cold
2025-01-11,S002,Nova Manchester Arndale,Manchester,2999,13.87,Rain
2025-01-11,S003,Nova Birmingham Bullring,Birmingham,3911,16.58,Dry
2025-01-11,S004,Nova Bristol Cabot,Bristol,2591,17.19,Dry
2025-01-11,S005,Nova Edinburgh Princes,Edinburgh,3031,15.02,Cold
2025-01-12,S001,Nova London Bridge,London,4454,16.64,Cold
2025-01-12,S002,Nova Manchester Arndale,Manchester,3614,15.58,Dry
2025-01-12,S003,Nova Birmingham Bullring,Birmingham,3590,17.36,Dry
2025-01-12,S004,Nova Bristol Cabot,Bristol,2408,17.49,Dry
2025-01-12,S005,Nova Edinburgh Princes,Edinburgh,2437,16.7,Rain
2025-01-13,S001,Nova London Bridge,London,2824,11.1,Cold
2025-01-13,S002,Nova Manchester Arndale,Manchester,2091,15.82,Cold
2025-01-13,S003,Nova Birmingham Bullring,Birmingham,2572,12.18,Dry
2025-01-13,S004,Nova Bristol Cabot,Bristol,1438,18.13,Cold
2025-01-13,S005,Nova Edinburgh Princes,Edinburgh,1434,18.32,Rain
2025-01-14,S001,Nova London Bridge,London,3187,17.11,Sunny
2025-01-14,S002,Nova Manchester Arndale,Manchester,2324,17.15,Dry
2025-01-14,S003,Nova Birmingham Bullring,Birmingham,2711,11.66,Sunny
2025-01-14,S004,Nova Bristol Cabot,Bristol,1689,17.55,Dry
2025-01-14,S005,Nova Edinburgh Princes,Edinburgh,1915,14.77,Dry
2025-01-15,S001,Nova London Bridge,London,2866,16.51,Cold
2025-01-15,S002,Nova Manchester Arndale,Manchester,2318,11.98,Dry
2025-01-15,S003,Nova Birmingham Bullring,Birmingham,2624,13.47,Dry
2025-01-15,S004,Nova Bristol Cabot,Bristol,1795,15.71,Dry
2025-01-15,S005,Nova Edinburgh Princes,Edinburgh,1923,13.53,Dry
2025-01-16,S001,Nova London Bridge,London,3598,15.13,Dry
2025-01-16,S002,Nova Manchester Arndale,Manchester,2444,12.49,Cold
2025-01-16,S003,Nova Birmingham Bullring,Birmingham,2719,18.43,Cold
2025-01-16,S004,Nova Bristol Cabot,Bristol,1640,11.9,Dry
2025-01-16,S005,Nova Edinburgh Princes,Edinburgh,1964,13.93,Cold
2025-01-17,S001,Nova London Bridge,London,3571,14.73,Rain
