Txn_ID,Txn_Date,Period,Account_Code,Description,Site_Code,Department,Amount_GBP
103034,2025-06-19,FY25-06,5010,Cost of Goods Sold - Retail,S004,MEMBERSHIP,-4653.48
103871,2025-07-07,FY25-07,6700, Professional Fees,S005,,-1410.22
101629,2025-03-13,FY25-03,7000,Depreciation,S004,,-554.2
100763,2025-02-12,FY25-02,5010,Cost of Goods Sold - Retail,S001,EVENTS,-2817.67
101518,2025-03-28,FY25-03,6200,Utilities - Electricity,S003,,-1192.66
104264,2025-08-22,FY25-08,6100,Property Rent,S004,,-1921.92
105018,2025-10-11,FY25-10,4010,Retail Merchandise Revenue,S002,ENTERTAINMENT,5009.9
102469,2025-05-13,FY25-05,5010,Cost of Goods Sold - Retail,S002,ENTERTAINMENT,-2276.29
103931,2025-08-18,FY25-08,4000,Food & Beverage Revenue,S005,FOOD_BEV,11333.56
102397,2025-05-09,FY25-05,4040,Events & Hire Revenue,S003,EVENTS,2193.01
106045,2025-11-30,FY25-11,6300,Marketing & Promotions,S001,,-1465.54
106790,2025-12-23,FY25-12,7000,Depreciation,S004,,-757.68
102597,2025-05-25,FY25-05,6100,Property Rent,S005,,-6221.79
102726,2025-05-28,FY25-05,6600,Insurance,S002,,-882.73
103336,2025-06-05,FY25-06,7000,Depreciation,S005,,-851.41
101045,2025-02-16,FY25-02,6700,Professional Fees,S003,,-537.21
106275,2025-12-28,FY25-12,4020,Entertainment Revenue,S005,,8502.15
101197,2025-03-14,FY25-03,4030,MEMBERSHIP REVENUE,S001,ENTERTAINMENT,3137.76
101905,2025-04-30,FY25-04,5010,Cost of Goods Sold - Retail,S003,FOOD_BEV,-1881.25
100460,2025-01-16,FY25-01,6500, IT & Software Licences,S005,,-1348.36
100434,2025-01-26,FY25-01,6300,Marketing & Promotions,S003,,-1801.02
106252,2025-12-01,FY25-12,4020,Entertainment Revenue,S002,EVENTS,17405.42
100987,2025-02-20,FY25-02,6210,Utilities - Gas/Water,S001,,-1304.28
102771,2025-05-10,FY25-05,7000,Depreciation,S004,,-1097.67
105476,2025-10-09,FY25-10,6300,Marketing & Promotions,S001,,-1283.65
104167,2025-08-08,FY25-08,6000,Wages & Salaries,S002,,-13602.74
101029,2025-02-11,FY25-02,6600,Insurance,S001,,-791.8
102393,2025-05-28,FY25-05,4040,Events & Hire Revenue,S002,RETAIL,3173.11
101947,2025-04-10,FY25-04,6000,Wages & Salaries,S004,,-5085.41
103648,2025-07-26,FY25-07,6000,Wages & Salaries,S002,,-9767.22
102503,2025-05-02,FY25-05,6000,WAGES & SALARIES,S002,,-6564.86
105103,2025-10-02,FY25-10,4030,Membership Revenue,S003,ENTERTAINMENT,3711.47
101864,2025-04-05,FY25-04,5000,Cost of Goods Sold - F&B,S003,FOOD_BEV,-6798.97
106429,2025-12-13,FY25-12,5000,Cost of Goods Sold - F&B,S005,FOOD_BEV,-5285.54
104519,2025-09-19,FY25-09,4020,Entertainment Revenue,S004,ENTERTAINMENT,19829.44
104220,2025-08-13,FY25-08,6010,Employer NI & Pension,S003,,-1410.58
104565,2025-09-26,FY25-09,4040,Events & Hire Revenue,S001,ENTERTAINMENT,3254.56
106074,2025-11-04,FY25-11,6300,Marketing & Promotions,S004,,-1388.73
106231,2025-12-23,FY25-12,4010,Retail Merchandise Revenue,S004,ENTERTAINMENT,4792.11
102736,2025-05-21,FY25-05,6700,Professional Fees,S003,,-846.81
103619,2025-07-19,FY25-07,5010,Cost of Goods Sold - Retail,S004,RETAIL,-1638.37
101657,2025-04-11,FY25-04,4000,Food & Beverage Revenue,S001,RETAIL,23106.11
106004,2025-11-28,FY25-11,6200,Utilities - Electricity,S002,,-801.89
100973,2025-02-26,FY25-02,6200,Utilities - Electricity,S004,,-1215.56
105127,2025-10-01,FY25-10,4030,MEMBERSHIP REVENUE,S005,FOOD_BEV,2147.18
106211,2025-12-24,FY25-12,4010,Retail Merchandise Revenue,S002,,7202.22
101492,2025-03-17,FY25-03,6110,Business Rates,S004,,-617.62
103963,2025-08-18,FY25-08,4010,Retail Merchandise Revenue,S004,ENTERTAINMENT,3613.08
100353,2025-01-27,FY25-01,6110,Business Rates,S003,,-705.23
101866,2025-04-19,FY25-04,5000,Cost of Goods Sold - F&B,S004,ENTERTAINMENT,-3661.27
100499,2025-01-16,FY25-01,7000,DEPRECIATION,S003,,-980.52
106667,2025-12-30,FY25-12,6200,Utilities - Electricity,S005,,-1164.92
105178,2025-10-16,FY25-10,5000,Cost of Goods Sold - F&B,S002,EVENTS,-5493.78
104023,2025-08-10,FY25-08,4030,MEMBERSHIP REVENUE,S002,EVENTS,2886.96
105372,2025-10-15,FY25-10,6100,Property Rent,S004,,-3291.57
105995,2025-11-28,FY25-11,6200,Utilities - Electricity,S001,,-1170.24
104063,2025-08-22,FY25-08,4040,Events & Hire Revenue,S003,RETAIL,1507.86
105651,2025-11-20,FY25-11,4020,Entertainment Revenue,S001,ENTERTAINMENT,9538.95
100255,2025-01-03,FY25-01,6000,Wages & Salaries,S005,,-6579.52
